Uuid,Void/Retire,Name,Description
${encounterType.ECHOCARDIOGRAM.uuid},,Echocardiogram,Echocardiogram consultation
${encounterType.PRENATAL_HOME_ASSESSMENT.uuid},,Prenatal Home Assessment,Prenatal home assessment
${encounterType.PEDIATRIC_HOME_ASSESSMENT.uuid},,Pediatric Home Assessment,Pediatric home assessment
${encounterType.MATERNAL_POST_PARTUM_HOME_ASSESSMENT.uuid},,Maternal Post-partum Home Assessment,Maternal post-partum home assessment
${encounterType.MATERNAL_FOLLOWUP_HOME_ASSESSMENT.uuid},,Maternal Follow-up Home Assessment,Maternal follow-up home assessment
${encounterType.COVID19_INTAKE.uuid},,COVID-19 Admission,COVID-19 admission note at health facility
${encounterType.COVID19_FOLLOWUP.uuid},,COVID-19 Progress,COVID-19 follow-up/daily progress at health facility
${encounterType.COVID19_DISCHARGE.uuid},,COVID-19 Discharge,COVID-19 Discharge note at health facility
${encounterType.OVC_INTAKE.uuid},,OVC Intake,USAID Orphans and Vulnerable Children (OVC) program intake
${encounterType.OVC_FOLLOWUP.uuid},,OVC Follow-up,USAID Orphans and Vulnerable Children (OVC) program follow-up
${encounterType.TB_INTAKE.uuid},,Tuberculosis Intake,Tuberculosis (TB) intake form
${encounterType.COMMENT.uuid},,Comment,Free-text clinical impression comments
${encounterType.HIV_INFANT_DOCUMENTATION.uuid},,HIV Infant Documentation,HIV Infant Documentation encounter type
${encounterType.PMTCT_INTAKE.uuid},,PMTCT Intake,Pregnant mother to child transmission (PMTCT) Intake
${encounterType.PMTCT_FOLLOWUP.uuid},,PMTCT Followup,Pregnant mother to child transmission (PMTCT) Followup
${encounterType.RADIOLOGY_ORDER.uuid},,Commande de radio,Radiology Order  - the ordering of a radiology exam
${encounterType.RADIOLOGY_REPORT.uuid},,Rapport de radiologie,Radiology Report - represents a report on a radiology study performed by a radiologist
${encounterType.RADIOLOGY_STUDY.uuid},,Examen de radiologie,Radiology Study - represents performance of a radiology study on a patient by a radiology technician
${encounterType.ATTACHMENT_UPLOAD.uuid},TRUE,Attachment Upload,Encounters used to record uploads of attachments.
