Uuid,Privilege name,Description
9500dbe5-1a70-44a5-881d-424afc103367,App: mirebalais.mpi,Run the Search Master Patient Index app
409c73d3-1184-4df1-b4b9-05f37b48f9ba,App: mirebalais.outpatientVitals,Run the capture Vitals app
10122e43-196b-4563-b083-f0ec00f0429b,App: mirebalaisreports.dataexports,Ability to run data export reports
fd7c4193-1202-48b7-a346-9046ffe15716,App: orderentryui.drugOrders,Allows access to drug orders page
af11d5d3-caa0-4f7f-83d7-c7f2c3b902fd,App: pihcore.todaysVisits,Use the Today's Visits app provided by PIH Core
0f986bdc-1cb2-4096-aeac-0d397de61dd5,App: pihcore.waitingForConsult,Use the Waiting For Consult app provided by PIH Core
c6ad8bad-a09e-43b6-b311-ac27dd688060,App: registrationapp.registerPatient,Able to access the register patient app
89cde56a-d8cc-4261-b491-38a1296edce0,App: reportingui.adHocAnalysis,Use the Ad Hoc Analysis tool
a4bb96b4-b3cb-4e3c-9251-a7c0ca173035,App: reportingui.reports,Use the Reports app provided by the reportingui module
fc342edd-a7da-457f-9332-012374c90e5d,Task: appointmentschedulingui.bookAppointments,"Ability book appointments, cancel appointments, and flag appointments as needs reschedule; Access to the Manage Rescheduled app"
0d22febe-9a55-4baf-ad1d-25f12ff05f2c,Task: appointmentschedulingui.overbookAppointments,Ability to overbook time slots
74a1d0a6-c2e5-4fd3-93c2-fac1e5888c05,Task: appointmentschedulingui.requestAppointments,Ability to request an appointment for a patient
6d1b1e23-26fc-46e0-932e-cd6a5d010c0a,Task: appointmentschedulingui.viewConfidential,Ability to view appointments marked as confidential in the appointment scheduling ui
98ba52e3-eecc-4260-8243-a7d05cda9865,Task: coreapps.createRetrospectiveVisit,"Ability to create a create retrospective visit (i.e., one that starts in the past)"
91c8eab6-9764-410f-92ab-978a6b5b1ddc,Task: coreapps.createVisit,Rights to start a visit from the patient dashboard
ed1cc14f-54a2-41b8-b2d0-e10a4792b000,Task: coreapps.deletePatient,Able to delete a patient
6b488071-a4a6-4b77-af25-4986a114af35,Task: coreapps.deletePatientProgram,Ability to delete a patient program via the program status widget
8390667f-1ae3-4810-8044-442232664f04,Task: coreapps.editPatientProgram,Ability to edit a patient program via the program status widget
ae2cb35c-2bb5-4dfa-b62d-985cfcf38f71,Task: coreapps.editRelationships,Able to edit relationships
37c63011-51f4-4e3d-b291-ea8a061d0f97,Task: coreapps.endVisit,Ability to end visit
841d114c-0844-4059-817e-0af0561aa950,Task: coreapps.enrollInProgram,Ability to enroll a patient in a program via the program status widget
54360e0d-d3c2-4331-b295-dbb872e2347f,Task: coreapps.markPatientDead,Ability to Mark a patient dead/deceased.
481ea817-cb16-4a2e-9848-8cbafabb93f1,Task: coreapps.mergeVisits,Ability to merge visits
8accc0c0-3faf-11e6-bdf4-0800200c9a66,Task: edtriageapp.enterNote,Ability to enter an ED Triage form fo a patient
3f407fdd-df00-42ec-9e1d-864ee896b2cb,Task: emr.enterAdmissionNote,Ability to enter an admission note
02bd5352-aac7-4ec3-867b-79c66833d771,Task: emr.enterConsultNote,Ability to enter a consult note
6f858c4d-f349-4595-8f82-cd3316a75c05,Task: emr.enterCOVID,Ability to enter a COVID-19 form
62ef802c-0e6e-4aee-8340-bb25ed5da419,Task: emr.enterEDNote,Ability to enter an ED Note
86698b3d-b2c7-4537-9157-3c8446946a9a,Task: emr.enterHIVConsultNote,Ability to enter an HIV consult note
fbc80ff0-0805-11e6-a837-0800200c9a66,Task: emr.enterLabResults,Ability to enter a lab results form
819b8a30-910c-11e8-9eb6-529269fb1459,Task: emr.enterMCH,Ability to enter an Maternal and Child health notes
5f520ae8-cf63-11e5-ab30-625662870761,Task: emr.enterMentalHealthNote,Ability to enter a mental health note
ba550ca0-6934-11e5-a837-0800200c9a66,Task: emr.enterNCDConsultNote,Ability to enter an NCD consult note
22d89390-105d-11e5-b939-0800200c9a66,Task: emr.enterOncologyConsultNote,Ability to enter an oncology consult note
ee9a1401-c440-4074-b81c-1df46951bf2e,Task: emr.enterPrimaryCareConsultNote,Ability to enter a Primary Care consult note
de845182-11e1-11e8-b642-0ed5f89f718b,Task: emr.enterSocioEconomics,Ability to enter a Socio-economics note
1e4b2181-12fd-4dfc-a200-f17975116bf0,Task: emr.enterSurgicalNote,Ability to enter a surgical note
1443a1e4-7cc4-11e9-8f9e-2a86e4085a59,Task: emr.enterVax,Ability to enter a Vaccination form
616b6eec-f189-11e7-8c3f-9a214cf093ae,Task: emr.enterVCT,Ability to enter a VCT note
d7135338-93e9-46a9-9cde-07af84b2fe8c,Task: emr.enterVitalsNote,Ability to enter a vitals note
5367155a-e435-4010-877a-f3007059c352,Task: emr.patient.encounter.delete,Gives permission to a user to delete a patient encounter
4841f2dd-31f0-46b9-9877-74dcaf2cf07b,Task: emr.patient.encounter.edit,Gives permission to a user to edit a patient encounter
6cdc5785-ee5c-48af-a2a2-7a574721fa97,Task: emr.patient.visit.delete,User has ability to delete a visit
d8165924-87b3-441d-bce8-2230d7bb3307,Task: emr.printLabels,Access the emr.printPaperRecordLabel task
7f4087ec-1d57-42aa-8704-fa27b0867d6f,Task: emr.printWristband,Ability to print a wristband from the patient dashboard
91d80e71-3ad7-4bc2-8bef-c6378e1b2b70,Task: emr.requestPaperRecord,Access the emr.requestPaperRecord task
d5e693ae-3f24-4fcb-abfd-eec345a76c17,Task: emr.retroConsultNote,Ability to retrospectively enter a consult note
ac6585f1-10e0-4a4e-84e3-fb8b098f0cbe,Task: emr.retroConsultNoteThisProviderOnly,Ability to retrospectively enter a consult note for provider user.
6C12D2F8-D8A6-4970-A814-439F1025F7F4,Task: growthchart.viewGrowthCharts,Able to view growth charts
77581bcc-6ee3-4c64-b906-02a9a4e95307,Task: labtracking.update,Ability to place orders using functionality provided by the Lab Tracking app
8c14474d-07e9-4283-9af2-0720522f1496,Task: labtrackingapp.placeOrders,Ability to place orders using functionality provided by the Lab Tracking app
23e57acd-83b5-44f4-8730-109645bb4953,Task: labworkflow.viewLabs,Able to view lab tests via the order entry UI
aa6751d5-1ca1-4863-be6b-d7a466aafd12,Task: Manage Condition Lists,Able to activate/inactivate/void condition lists.
1a819ef6-4632-4d2e-8227-7bdf9e8e273a,Task: mirebalais.checkinForm,Ability to enter a Check In form from the patient dashboard.
cc9bcfd5-2bc8-489f-85a7-fbd65e5a8293,Task: mirebalais.dispensing,Ability to dispense medicine.
c4121a43-895d-4c07-83f9-64e6907e3742,Task: mirebalais.enterDeathCertificate,Enter the Death Certificate form
d92637e3-8c03-4104-836a-f5bde8d8be47,Task: mirebalaisDispensingEditProviderAndLocation,Able to edit provide location and date of dispensing medication.
6de2bc14-d143-468b-a70a-49fef3ba66d3,Task: Modify Allergies,"Able to add, edit, delete allergies"
e534c845-74da-45f8-97d5-304482c52256,Task: orderentry.orderLabs,Able to order lab tests via the order entry UI
6c87e448-a356-419d-9da9-f773ba9882cc,Task: org.openmrs.module.radiologyapp.orderCT,Rights to order a CT Scan via the radiology app
90ba15be-842d-4d11-969d-773958ec0ded,Task: org.openmrs.module.radiologyapp.orderUS,Privilege to order an ultrasound exam
9d28a374-89c4-4050-9efd-eabdbf828b75,Task: org.openmrs.module.radiologyapp.orderXray,Rights to order an x-ray via the x-ray app
84a77327-a759-4681-8065-91670a16aacb,Task: org.openmrs.module.radiologyapp.retroOrder,Ability to retrospectively order a radiology study
b0791308-22dd-4a64-ac9c-8dbb4d1be245,Task: org.openmrs.module.radiologyapp.tab,Ability to view the Radiology tab for patient
